Product Name,Brand Name,Price (Ksh),Discount (%),Total Number of Reviews,Product Rating
AILYONS FK-0301 Stainless Steel 1.8L Electric Kettle-Silver. (1YR WRTY),Infinix,KSh 599,5,4,0
Garnier Bright Complete Bundle Pack,Infinix,"KSh 2,547",25,4.5,0
Garnier Even & Matte Vitamin  C Booster Serum 30ml.,Infinix,"KSh 1,099",37,4.3,0
Fashion 6Pcs Soft Cotton Checked Men's Boxers â€“ Multicolor,Infinix,KSh 528,15,3.6,0
NIVEA Perfect & Radiant Even Tone Day And Night Cream For Women - 50ml,Infinix,KSh 849,53,4.4,0
"Vitron HTC3200S 32"" Smart Frameless Android LED TV (1YR WRTY)",Infinix,"KSh 11,599",36,4,0
"Vitron HTC4388FS - 43"" Smart  Android Frameless TV - Black (1YR WRTY)",Infinix,"KSh 19,499",32,4,0
"NIVEA Pearl & Beauty Anti-Perspirant Rollon, 48h - 50ml (Pack Of 2)",Infinix,KSh 692,33,4.5,0
Garnier Even & Matte Vitamin C Protection Cream SPF30 50ml,Infinix,KSh 789,37,4.3,0
RichRipple LED Display Bluetooth Headsets 9D Stereo Wireless Earphones Earpods,Infinix,KSh 469,49,3.9,0
Starlink Standard Actuated Kit,Infinix,"KSh 39,500",61,4.9,0
AILYONS GS013-2 Gas Cooker Stainless Steel Double Burner Black (1YR WRTY),Infinix,"KSh 1,599",38,3.9,0
Garnier Even & Matte Vitamin C Cleansing Foam,Infinix,KSh 825,0,4.4,0
Garnier Anti-Blemish Charcoal Serum With AHA+BHA & Niacinamide For Acne Prone Skin,Infinix,"KSh 1,850",0,4.2,0
Annov 7-Speed Portable Hand Mixer  With Bowl,Infinix,"KSh 1,009",22,3.8,0
Garnier Pure Active 3 In1 Charcoal  Anti  Blackhead Mask Wash Scrub -  150ml,Infinix,"KSh 1,345",0,4.4,0
"AILYONS ECS2403 2.1CH SubWoofer Home Theatrer Multi Media Speaker System, 1YR WRTY",Infinix,"KSh 2,399",35,3.7,0
AILYONS FK-0310 Stainless Steel 2.2L Electric Water Kettle-Black (1YR WRTY),Infinix,KSh 845,47,4.1,0
Sundabest 1.5l Stainless Steel Vacuum Coffee Pot Vacuum Thermos Flask Kettle - Silver (130020176),Infinix,KSh 699,17,3.9,0
AILYONS FK-0301 Stainless Steel 1.8L Electric Kettle-Black (1YR WRTY),Infinix,KSh 667,52,4.1,0
Waanzilish Mens Sneakers Shoes Outdoor Hiking Shoes Non-slip Sports Shoes Breathable Blue,Infinix,KSh 767 - KSh 850,49,4,0
Garnier Even & Matte Vitamin C  Booster Serum 15ml,Infinix,KSh 675,25,4.1,0
Rashnik Manual Water Dispenser Pump,Infinix,KSh 286,0,4.3,0
Fashion 4pcs Ladies Handbags Women Shoulder Tote Bags Set PU Leather-Black,Infinix,KSh 689,51,3.5,0
Vitron VB-Y44 - 2in1 Blender - 1.5L - 350W - White & Yellow (1YR WRTY),Infinix,"KSh 1,599",47,4,0
Hikers 32'' Inch Frameless Android Smart HD LED TV - Black,Infinix,"KSh 10,699",47,4.1,0
Nunix Free standing Hot and Normal -Q7n White,Infinix,"KSh 3,685",0,4,0
AILYONS AFK-112 Water Dispenser Hot Cold And Normal With Storage Cabinet,Infinix,"KSh 6,499",24,4.1,0
AILYONS AFK-111 Water Dispenser Hot And Normal With Storage Cabinet,Infinix,"KSh 3,499",30,4,0
RichRipple Pro3 Bluetooth Headsets Wireless Pods Pro Earpods Earphones,Infinix,KSh 489,35,3.9,0
Qwen Bluetooth Earbuds Wireless Earphone Gaming Headsets Sports Headphones,Infinix,KSh 600,40,4,0
Garnier Even & Matte Dark Spot Corrector,Infinix,"KSh 1,090",0,4,0
AILYONS HD-199A Electric Dry Iron Box Silver & Black (1YR WRTY),Infinix,KSh 873,38,3.9,0
Sonar C7 Hot And Normal Water Dispenser -blue And White (1YR WRTY),Infinix,"KSh 3,479",44,3.9,0
"AILYONS GS014-1, 2 Burner Glass Top & Infrared Double Burner (1YR WRTY)",Infinix,"KSh 2,349",29,4.1,0
Fashion 4 In 1 Ladies Handbags Women Shoulder Bags Set PU Leather -Pink,Infinix,KSh 781,48,3.7,0
"Vitron V527 - 2.1 CH Multimedia Speaker, BT/USB/SD/FM - 9000W",Infinix,"KSh 5,299",30,4.1,0
AILYONS FK-0306 Stainless Steel 1.8L Electric Kettle-White (1YR WRTY),Infinix,KSh 749,46,4.1,0
Stereo F9 Bluetooth Earphone  Power Headset,Infinix,KSh 540,42,3.9,0
Vintage T9 Dragon Rechargeable Metal Hair Clipper Gold,Infinix,KSh 527,52,3.9,0
